candidate_id,rank,score,reasoning
CAND_0033179,1,1.0,"6.9 yrs as a AI Research Engineer at Wipro; background covers ranking and recommendation systems; product-company experience, strong recruiter response (84%)."
CAND_0064326,2,0.997877,"Search Engineer with 7.6 yrs experience at Sarvam AI; career shows evidence of retrieval and embeddings; product-company experience, strong recruiter response (94%)."
CAND_0079387,3,0.993169,"AI Engineer, 6.9 yrs of experience at Microsoft; demonstrated retrieval and recommendation systems in past roles; product-company experience, strong recruiter response (81%)."
CAND_0025640,4,0.990908,"5.6 yrs as a AI Research Engineer at HCL; background covers ranking and recommendation systems; product-company experience, strong recruiter response (87%)."
CAND_0041669,5,0.989665,"8.0 yrs as a Recommendation Systems Engineer at CRED; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (77%)."
CAND_0046064,6,0.986892,"8.9 yrs as a Senior NLP Engineer at Salesforce; background covers retrieval and ranking; product-company experience, strong recruiter response (78%)."
CAND_0002025,7,0.983144,"Senior AI Engineer with 5.9 yrs experience at Apple; career shows evidence of ranking and recommendation systems; product-company experience, strong recruiter response (80%)."
CAND_0011327,8,0.976673,"6.3 yrs as a AI Research Engineer at Krutrim; background covers ranking and recommendation systems; product-company experience, strong recruiter response (79%)."
CAND_0081846,9,0.97665,"Lead AI Engineer with 6.7 yrs experience at Razorpay; career shows evidence of retrieval and ranking; product-company experience, strong recruiter response (73%)."
CAND_0046525,10,0.975185,"Senior Machine Learning Engineer, 6.1 yrs of experience at Genpact AI; demonstrated retrieval and ranking in past roles; product-company experience, strong recruiter response (88%)."
CAND_0011687,11,0.974753,"7.8 yrs as a Senior NLP Engineer at Niramai; background covers retrieval and recommendation systems; product-company experience, strong recruiter response (89%)."
CAND_0030031,12,0.972329,"AI Engineer, 5.7 yrs of experience at Microsoft; demonstrated recommendation systems and embeddings in past roles; product-company experience, strong recruiter response (94%)."
CAND_0004402,13,0.970831,"AI Research Engineer, 6.0 yrs of experience at Yellow.ai; demonstrated ranking and recommendation systems in past roles; product-company experience, strong recruiter response (83%)."
CAND_0005509,14,0.969665,"Data Scientist, 6.0 yrs of experience at Ola; demonstrated ranking and recommendation systems in past roles; product-company experience, recently active."
CAND_0075249,15,0.969334,"Applied ML Engineer with 6.2 yrs experience at Zomato; career shows evidence of retrieval and recommendation systems; product-company experience, strong recruiter response (82%)."
